GDP,Population,Energy_consumption,per_capita_production,Energy_intensity_by_GDP,balance,energy_dependecy,use_intensity_pc,co2_pc,clusters,energy_type,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
386.004,24646.45,1.04,121.581,7.763,6.006,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
386.004,24646.45,1.334,121.581,7.763,0.0,0.003,0.0,0.002,2,2,0.0,0.0,0.0,0.0,0.0,1.0
386.004,24646.45,0.002,121.581,7.763,0.221,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
351.821,25100.4,0.602,113.746,8.115,-0.002,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
351.821,25100.4,1.057,113.746,8.115,5.083,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
351.821,25100.4,1.195,113.746,8.115,0.0,0.003,0.0,0.003,2,2,0.0,0.0,0.0,0.0,0.0,1.0
351.821,25100.4,0.002,113.746,8.115,0.215,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
324.536,25551.62,0.607,102.917,8.103,-0.0,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
324.536,25551.62,0.995,102.917,8.103,4.485,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
324.536,25551.62,1.026,102.917,8.103,0.0,0.003,0.0,0.002,2,2,0.0,0.0,0.0,0.0,0.0,1.0
324.536,25551.62,0.002,102.917,8.103,0.216,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
383.883,25996.6,0.695,113.942,7.716,0.0,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
383.883,25996.6,1.122,113.942,7.716,4.896,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
383.883,25996.6,1.144,113.942,7.716,0.0,0.003,0.0,0.002,2,2,0.0,0.0,0.0,0.0,0.0,1.0
383.883,25996.6,0.002,113.942,7.716,0.213,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
423.491,26432.45,0.764,113.672,7.095,0.001,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
423.491,26432.45,1.253,113.672,7.095,4.806,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
423.491,26432.45,0.986,113.672,7.095,0.0,0.002,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
423.491,26432.45,0.001,113.672,7.095,0.21,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
465.3,26850.15,0.801,117.994,6.809,0.001,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
465.3,26850.15,1.27,117.994,6.809,4.594,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
465.3,26850.15,1.094,117.994,6.809,0.0,0.002,0.0,0.002,2,2,0.0,0.0,0.0,0.0,0.0,1.0
465.3,26850.15,0.003,117.994,6.809,0.202,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
506.029,27247.6,0.813,109.789,5.912,0.0,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
506.029,27247.6,1.297,109.789,5.912,4.547,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
506.029,27247.6,0.876,109.789,5.912,-0.004,0.002,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
506.029,27247.6,0.005,109.789,5.912,0.174,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
532.738,27635.82,0.846,114.848,5.958,0.001,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
532.738,27635.82,1.454,114.848,5.958,4.45,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
532.738,27635.82,0.867,114.848,5.958,-0.058,0.002,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
532.738,27635.82,0.006,114.848,5.958,0.139,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
515.677,28031.0,0.83,111.005,6.034,0.0,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
515.677,28031.0,1.486,111.005,6.034,4.425,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
515.677,28031.0,0.789,111.005,6.034,-0.07,0.002,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
515.677,28031.0,0.007,111.005,6.034,0.103,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
507.999,28439.93,0.743,109.322,6.12,-0.001,0.001,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
507.999,28439.93,1.546,109.322,6.12,4.119,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
507.999,28439.93,0.813,109.322,6.12,-0.056,0.002,0.0,0.001,0,2,0.0,0.0,0.0,0.0,0.0,1.0
507.999,28439.93,0.008,109.322,6.12,0.085,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
529.216,28887.85,0.807,108.543,5.925,-0.002,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
529.216,28887.85,1.443,108.543,5.925,4.424,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
